epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5494,0.83708,1.19832,1.66363,0.66844,0.58561,0.61913,0.49702,0.77767,1.08075,1.675,0.00033213,0.00033213,0.00033213
2,100.224,0.8412,1.16961,1.6471,0.58202,0.61396,0.63982,0.50619,0.80205,1.08594,1.65815,0.000658875,0.000658875,0.000658875
3,139.945,0.83869,1.11946,1.6451,0.56722,0.61549,0.64545,0.50946,0.78077,1.07861,1.69146,0.00097902,0.00097902,0.00097902
4,179.091,0.84171,1.07656,1.6574,0.58441,0.66186,0.65027,0.51934,0.81071,1.07748,1.63477,0.0009703,0.0009703,0.0009703
5,216.859,0.82805,1.0155,1.69672,0.53978,0.653,0.63465,0.48534,0.8559,1.05566,1.64881,0.0009604,0.0009604,0.0009604
6,254.325,0.85811,1.04673,1.69022,0.6261,0.6845,0.69303,0.54466,0.79869,1.03504,1.65155,0.0009505,0.0009505,0.0009505
7,290.567,0.83982,0.99556,1.70097,0.61885,0.71948,0.68223,0.5405,0.77055,1.01431,1.66594,0.0009406,0.0009406,0.0009406
8,326.901,0.80376,0.94004,1.63946,0.68008,0.65476,0.71049,0.57412,0.7544,0.90314,1.65715,0.0009307,0.0009307,0.0009307
9,362.933,0.78572,0.89747,1.67093,0.72127,0.60664,0.71305,0.57561,0.75582,0.95562,1.60661,0.0009208,0.0009208,0.0009208
10,400.458,0.78596,0.86225,1.66542,0.64397,0.73539,0.72821,0.5665,0.79762,0.92704,1.67183,0.0009109,0.0009109,0.0009109
11,441.11,0.79876,0.89204,1.61922,0.68531,0.72244,0.73886,0.58379,0.76823,0.9491,1.63509,0.000901,0.000901,0.000901
12,478.71,0.75862,0.85436,1.58957,0.7065,0.67836,0.72437,0.58644,0.75052,0.97537,1.6104,0.0008911,0.0008911,0.0008911
13,516.486,0.76314,0.8415,1.65791,0.67612,0.71302,0.71194,0.56259,0.76527,0.94671,1.61678,0.0008812,0.0008812,0.0008812
14,554.404,0.73904,0.78323,1.6239,0.727,0.71974,0.74788,0.59061,0.73941,0.8608,1.65236,0.0008713,0.0008713,0.0008713
15,591.826,0.76026,0.79411,1.60606,0.72949,0.68579,0.73322,0.58948,0.74409,0.8852,1.60046,0.0008614,0.0008614,0.0008614
16,627.771,0.73857,0.74748,1.5983,0.70996,0.7112,0.75854,0.61247,0.73155,0.84029,1.63193,0.0008515,0.0008515,0.0008515
