epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9647,0.51554,0.42881,1.37373,0.81085,0.75797,0.79641,0.6675,0.67302,0.80343,1.5344,0.000332432,0.000332432,0.000332432
2,105.907,0.56204,0.46444,1.40859,0.77884,0.74335,0.79518,0.66431,0.69464,0.87724,1.60219,0.000659175,0.000659175,0.000659175
3,157.099,0.60811,0.54453,1.46842,0.7581,0.7425,0.79092,0.64622,0.73397,0.91294,1.63828,0.000979317,0.000979317,0.000979317
4,208.618,0.625,0.58422,1.51768,0.75893,0.70305,0.77125,0.62652,0.74111,0.95169,1.58786,0.0009703,0.0009703,0.0009703
5,259.11,0.6232,0.57938,1.4552,0.79877,0.73415,0.77859,0.64868,0.71011,0.91337,1.56681,0.0009604,0.0009604,0.0009604
6,308.255,0.62909,0.60768,1.46728,0.73953,0.75062,0.7733,0.62775,0.74833,0.93566,1.56238,0.0009505,0.0009505,0.0009505
7,358.056,0.62094,0.57722,1.4731,0.8007,0.68032,0.75802,0.62781,0.71385,0.98985,1.57108,0.0009406,0.0009406,0.0009406
8,409.808,0.64747,0.60381,1.50665,0.79743,0.69028,0.76698,0.63104,0.71774,0.916,1.6431,0.0009307,0.0009307,0.0009307
9,459.68,0.62867,0.59131,1.47339,0.71624,0.74576,0.76461,0.62509,0.72308,0.92603,1.58045,0.0009208,0.0009208,0.0009208
10,511.023,0.63825,0.59204,1.46404,0.78817,0.68452,0.78738,0.64509,0.74259,0.89748,1.61058,0.0009109,0.0009109,0.0009109
11,562.145,0.62923,0.57382,1.47918,0.81658,0.76094,0.79475,0.65951,0.72398,0.89353,1.56892,0.000901,0.000901,0.000901
